項次,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,220205推播無印良品,,211027_1200,,,,靴子,我要女王節獻禮,好神拖,點擊｜羅羅鎮故事-FIFI-2,,,領取【看見台灣加好友抽獎-台中場】隨機保溫瓶乙支,,,,點擊_新好友導官網,賴暎泓,,PChome,,,,,190101至221030約翰森林,,,,,,
,220205選單muji無印良品,,211028_2000,,,,鞋款｜OL 上班通勤鞋 deleted_at 2024-07-10 02:40:05,【推播點擊】231222_特賣_vip,好立善,點擊｜羅羅鎮故事-JIMMY,,,領取【看見台灣加好友抽獎-高雄場】LINE 10點,,,,點擊_會員日,過卡貼標,,PChome_line,,,,,190101至221031約翰森林,,,,,,
,220207推播情人節飾品,,211029_1200,,,,鞋款｜休閒鞋,【推播點擊】231222_特賣_vip_midipy羊毛毯,妊娠油,點擊｜羅羅鎮故事-JIMMY-1,,,領取【看見台灣加好友抽獎-高雄場】遊戲券乙張,,,,點擊_期間限定優惠,邱義亨,,Pchome通路,,,,,190101至221032約翰森林,,,,,,
,220207選單情人節飾品,,211029_1600,,,,鞋款｜低跟鞋,【推播點擊】231222_特賣_vip_Nellie's,妊娠霜,點擊｜羅羅鎮故事-JIMMY-2,,,領取【看見台灣加好友抽獎-高雄場】隨機保溫瓶乙支,,,,點擊_查詢保齡球集點卡_2023M9M10,郭博文,,POSM,,,,,190101至221033約翰森林,,,,,,
,220208推播app遇8就發+開學,,211031_2000,,,,鞋款｜保暖鞋 / 靴,【推播點擊】231222_特賣_vip_Sabre,妙煮婦,點擊｜羅羅鎮故事-MEEGO,,,領取【看見台灣展覽舊瓶回收抽獎-台北場】LINE 10點,,,,點擊_查詢保齡球集點卡_2024M5M6,鍾陳東,,promotion,,,,,190101至221034約翰森林,,,,,,
,220209推播虎牌保溫杯瓶,,211101_2000,,,,鞋款｜內增高,【推播點擊】231222_特賣_vip_娃娃鞋,妙管家,點擊｜羅羅鎮故事-MEEGO-1,,,領取【看見台灣舊瓶回收抽獎-台北場】LINE 10點,,,,點擊_發票登錄倒數10d,鐘勇庭,,Q&A_btn1,,,,,190101至221035約翰森林,,,,,,
,220210推播幫寶適,,211103_1200,,,,鞋款｜切爾西靴,【推播點擊】231222_特賣_vip_居旅,妙管家,點擊｜羅羅鎮故事-MEEGO-2,,,領取【看見台灣舊瓶回收抽獎-台北場】遊戲券乙張,,,,點擊_發票登錄倒數10d抽點數,陳健豪,,Recycle_C4,,,,,190101至221036約翰森林,,,,,,
,220211推播小米,,211104_2000,,,,鞋款｜厚底鞋,【推播點擊】231222_特賣_重要,妙管家管家,點擊｜舒華Meego肩背包活動,,,領取【看見台灣舊瓶回收抽獎-台北場】隨機保溫瓶乙支,,,,點擊_領取2024M1增粉_增粉任務禮,陳孟侃,,Recycle_Costco,,,,,190101至221037約翰森林,,,,,,
,220211直播電競女神婕翎開箱,,211105_1200,,,,鞋款｜寬楦鞋,【推播點擊】231222_特賣_重要_AMB,威猛先生,點擊｜舒華每日一句,,,領取【站前新光】BergHOFF快閃店現折$100元,,,,點擊_領取2024M1會員日_增粉任務禮,陸右恭,,Retention,,,,,190101至221038約翰森林,,,,,,
,220212推播情人節+小編報,,211107_2000,,,,鞋款｜小白鞋,【推播點擊】231222_特賣_重要_MEPRA,娘家,點擊｜舒華每日一句-Alexa肩背包,,,領取【老先覺．潮味決LINE好友抽獎】官網現折50元,,,,點擊_領取保齡球集點卡_2023M9M10,非親子族群,,ri_flavor_伴侶,,,,,190101至221039約翰森林,,,,,,
,220213推播3C開學,,211108_1200,,,,鞋款｜工程靴,【推播點擊】231222_特賣_重要_Midipy,婕洛妮絲,點擊｜舒華每日一句-Alexa肩背包2,,,領取【老先覺．潮味決LINE好友抽獎】檸檬大叔-海鹽檸檬膠囊12顆,,,,點擊_領取保齡集點卡_2024M5M6,黃建郡,,ri_flavor_全家人,,,,,190101至221040約翰森林,,,,,,
,220214推播PP波瑟楓妮,,211108_1600,,,,鞋款｜帆布鞋,【推播點擊】231222_特賣_重要_VEJA,婦幼,點擊｜舒華每日一句-Kadi(L),,,領取【老先覺．潮味決LINE好友抽獎】潮味決-雙人套餐享乒乓魚蛋兩份,,,,點擊_領取保齡集點卡_2024M9M10,黃裕謙,,ri_flavor_冰的,,,,,190101至221041約翰森林,,,,,,
,220215推播thenorthface,,211110_1200,,,,鞋款｜平底鞋,【推播點擊】231222_特賣_重要_居旅,婦幼保健,點擊｜舒華每日一句-Kadi(L)2,,,領取【老先覺．潮味決LINE好友抽獎】老先覺-雙人套餐349元(原價475元),,,,點擊_領取新好友見面禮,黃騰正,,ri_flavor_咖啡味濃,,,,,190101至221042約翰森林,,,,,,
,220216fb抽獎貼圖票選,,211110_2000,,,,鞋款｜德訓鞋,換季家具,媽咪莉娜,點擊｜舒華每日一句-Kadi(M),,,領取【老先覺．潮味決LINE好友抽獎】遊戲券乙張,,,,點擊_領取會員優惠,點擊_換頁選單,,ri_flavor_咖啡味濃郁,,,,,190101至221043約翰森林,,,,,,
,220216推播食品,,211111_1500,,,,鞋款｜懶人鞋,換季汰換，寢具專區,嬌潤泉,點擊｜舒華每日一句-Kadi(M)2,,,領取【老先覺．潮味決LINE好友抽獎】雪霧玫瑰燜燒鍋1500ml乙個,,,,,,,ri_flavor_奶香味濃,,,,,190101至221044約翰森林,,,,,,
,220216直播三星s22新機,,211111_1900,,,,鞋款｜拖鞋,換季清潔,嬰兒,點擊｜舒華每日一句-LOVE MORE斜背包,,,領取【膳愛地球】LINE 50點,,,,,,,ri_flavor_早上下午喝,,,,,190101至221045約翰森林,,,,,,
,220217推播食品沖調飲料,,211111_2000,,,,鞋款｜方頭,撥打中港店電話,孕媽咪,點擊｜舒華每日一句-LOVE MORE斜背包2,,,領取【膳愛地球】MoCA展覽加LINE抽好禮遊戲券,,,,,,,ri_flavor_早上喝,,,,,190101至221046約翰森林,,,,,,
,220219推播週末特殺+小編報,,211111_2200,,,,鞋款｜樂福鞋,擁有更多聖誕氛圍,安全汽座,點擊｜舒華每日一句-Meego肩背包,,,領取【膳愛地球】膳魔師摺疊購物袋,,,,,,,ri_flavor_熱的,,,,,190101至221047約翰森林,,,,,,
,220221推播三花,,21111_2000,,,,鞋款｜機能涼拖,新好友點擊使用優惠券,安博,點擊｜舒華每日一句-Meego肩背包2,,,領取【膳愛地球】膳魔師杯瓶提袋,,,,,,,ri_flavor_甜蜜味道,,,,,190101至221048約翰森林,,,,,,
,220223直播haylou智慧錶,,211112_1200,,,,鞋款｜機能涼鞋,新春抽抽樂_100,安博盒子,點擊｜舒華每日一句-夢特胸包八週年,,,領取【膳愛地球】膳魔師隔熱手套,,,,,,,ri_flavor_自己,,,,,190101至221049約翰森林,,,,,,
,220223選單禦寒除濕,,21111_2200,,,,鞋款｜氣墊鞋,新春抽抽樂_300,安晴,點擊｜舒華每日一句-夢特胸包八週年2,,,領取【膳愛地球】膳魔師黑熊小方巾,,,,,,,ri_flavor_自然酸甜風味,,,,,190101至221050約翰森林,,,,,,
,220224推播24力+line購物,,211112_2000,,,,鞋款 | 沙發鞋,新春抽抽樂_50,宏醫,點擊｜舒華每日一句-狂派塗鴉Queen版,,,領取【膳愛地球】轉盤遊戲券,,,,,,,ri_flavor_隨時喝,,,,,190101至221051約翰森林,,,,,,
,220226推播週末特殺+小編報,,211114_2000,,,,鞋款｜洞洞鞋,新春抽抽樂_700,客服,點擊｜舒華每日一句-狂派塗鴉Queen版2,,,領取【膳魔師Ｘ永心鳳茶微風信義店】膳魔師特調組合＿現折$200元,,,,,,,ri_pic_找出專屬口味,,,,,190101至221052約翰森林,,,,,,
,220301情人節禮物大PK,,211117_1200,,,,鞋款｜海灘鞋,新春抽抽樂參與者,家倍健,點擊｜舒華簽名包,,,領取膳魔師週_Tritan抵100券,,,,,,,ri_pic_找出專屬口味_N,,,,,190101至221053約翰森林,,,,,,
,220301推播apple+銀行,,211118_2000,,,,鞋款｜涼鞋,新春除夕chatbot參與者,家店,點擊｜門市活動領取,,,領取膳魔師週_真空舊換新抵200券,,,,,,,ri_pic_找出專屬口味_Y,,,,,190101至221054約翰森林,,,,,,
,220302推播小米,,211119_1200,,,,鞋款｜牛津 / 紳士鞋,斷貨好物隱藏優惠,家庭清潔,點擊｜領取活動,,,領取【購物節】官網限時折50,,,,,,,ri_Q&A,,,,,190101至221055約翰森林,,,,,,
,220303推播生活清淨家電,,211119_2000,,,,鞋款｜牛津鞋,斷貨好物隱藏優惠_券,家後,,,,領取【跨年LINE限定】LINE POINT 20點,,,,,,,ri_SBX派克市場即刻品嚐_已綁定,,,,,190101至221056約翰森林,,,,,,
,220303直播lg筆電,,211121_2000,,,,鞋款｜瑪莉珍鞋,【旅程點擊】2407購物車提醒,家用,,,,領取【跨年LINE限定】好學校-MASA 線上烹飪課,,,,,,,ri_SBX派克市場即刻品嚐_未綁定,,,,,190101至221057約翰森林,,,,,,
,220303直播藝人帶貨佩甄,,2111230_2000,,,,鞋款｜男鞋,本週精選,家簡塵除,,,,領取【跨年LINE限定】官網現折100元,,,,,,,ri_SBX派克市場_咖啡機保固_已綁定,,,,,190101至221058約翰森林,,,,,,
,220304推播曼寧花草茶,,211124_1200,,,,鞋款｜登山靴,正式活動場推播-晚上,家電,,,,領取【跨年LINE限定】會員獨享抽獎券,,,,,,,ri_SBX派克市場_會員卡,,,,,190101至221059約翰森林,,,,,,
,220305推播無印良品muji,,211125_2000,,,,鞋款｜真皮系列,母親節扭蛋天天拿優惠,家飾,,,,領取【跨年LINE限定】檸檬大叔-海鹽檸檬膠囊12顆,,,,,,,ri_SBX派克市場_會員綁定,,,,,190101至221060約翰森林,,,,,,
,220306推播timberland,,211126_1100,,,,鞋款｜短靴,母親節隱藏優惠,富及及,,,,領取【跨年LINE限定】潮味決-雙人套餐享乒乓魚蛋兩份,,,,,,,ri_主要_會員綁定,,,,,190101至221061約翰森林,,,,,,
,220307推播dyson,,211126_1200,,,,鞋款｜秒穿鞋,沈睡顧客：目前所有註冊但未消費顧客,富及第,,,,領取【跨年LINE限定】老先覺-雙人套餐349元(原價475元),,,,,,,ri_冰釀冷萃即刻品嚐_已綁定,,,,,190101至221062約翰森林,,,,,,
,220308推播app遇8就發,,211126_2000,,,,鞋款｜穆勒,泳衣,寒舍艾美,,,,"領取遊戲券【2023LINE抽獎】會員點數1,000點",,,,,,,ri_冰釀冷萃即刻品嚐_未綁定,,,,,190101至221063約翰森林,,,,,,
,220309推播3m象印,,211128_2000,,,,鞋款｜穆勒鞋,活動主檔,寒舍艾美酒店,,,,領取【鈦健康蘋果鍋台中場活動抽獎】MASA線上料理課,,,,,,,ri_冰釀冷萃抽獎_活動辦法_已綁定,,,,,190101至221064約翰森林,,,,,,
,220310推播kshose童鞋,,211130_2000,,,,鞋款｜老爹鞋,測試,寢具,,,,領取【開學季】官網限時折150,,,,,,,ri_冰釀冷萃抽獎_活動辦法_未綁定,,,,,190101至221065約翰森林,,,,,,
,220311推播妮維雅,,211201_1200,,,,鞋款｜襪子,潛力客戶,寵物,,,,領取【開學季】官網限時折50,,,,,,,ri_冷萃抽獎參加_已綁定,,,,,190101至221066約翰森林,,,,,,
,220312推播週末特殺+小編報,,211202_2000,,,,鞋款｜襪靴,"潛力顧客：購買頻率 大於等於 1 ＆ 消費總額 小於等於 2,999 or 進站次數 大於等於 2",寵物保健,,,,領取【雙11一日限定】現折1111元,,,,,,,ri_冷萃抽獎參加_未綁定,,,,,190101至221067約翰森林,,,,,,
,220313推播寶拉珍選保養,,211205_1200,,,,鞋款｜親子鞋,熱銷商品排行榜,寵物推車,,,,領取【預購鈦健康蘋果鍋抽獎】MASA線上料理課,,,,,,,ri_冷萃抽獎導購_已綁定,,,,,190101至221068約翰森林,,,,,,
,220314直播微軟筆電,,211205_2000,,,,鞋款｜豆豆鞋,父親節BEZALEL車用充電器,寵物用品,,,,領取【預購鈦健康蘋果鍋抽獎】遊戲券1,,,,,,,ri_冷萃抽獎導購_未綁定,,,,,190101至221069約翰森林,,,,,,
,220315推播羅技女子風格誌,,211208_1200,,,,鞋款｜跟鞋,父親節DEPOT男士保養,寵物食品,,,,領取【預購鈦健康蘋果鍋抽獎】遊戲券2,,,,,,,ri_冷萃抽獎_會員卡,,,,,190101至221070約翰森林,,,,,,
,220316推播幫寶適費雪品牌,,211208_2000,,,,鞋款｜輕旅鞋,父親節GJ送鋼筆,寶樣,,,,領取【預購鈦健康蘋果鍋抽獎】遊戲券3,,,,,,,ri_冷萃抽獎_會員綁定,,,,,190101至221071約翰森林,,,,,,
,220317動態小米新機12,,211209_2000,,,,鞋款｜通勤鞋,父親節SMEG咖啡機,寶齡富錦,,,,領取【高雄巨蛋】BergHOFF快閃店現折$100元,,,,,,,ri_咖啡機保固,,,,,190101至221072約翰森林,,,,,,
,220319推播週末特殺+小編報,,211210_1200,,,,鞋款｜運動鞋,父親節主頁,將將好餐廚,,,,領取點數券【2024舊瓶換新瓶_自主回收獎勵10月】,,,,,,,ri_單品雙倍送_主視覺_已綁定,,,,,190101至221073約翰森林,,,,,,
,220321推播3c儲存商品,,211210_2000,,,,鞋款｜長靴,父親節咖啡時光,專櫃,,,,領取點數券【2024舊瓶換新瓶_自主回收獎勵11月】,,,,,,,ri_單品雙倍送_主視覺_未綁定,,,,,190101至221074約翰森林,,,,,,
,220322推播garmin新品,,2112116_2030,,,,鞋款｜雨靴,父親節品酩時光,導航,,,,領取點數券【2024舊瓶換新瓶_自主回收獎勵12月】,,,,,,,ri_單品雙倍送_咖啡機保固,,,,,190101至221075約翰森林,,,,,,
,220322推播樂高,,211212_2000,,,,鞋款｜雨鞋,父親節˙帥氣配件,小兒利撒爾,,,,領取點數券【2024舊瓶換新瓶_自主回收獎勵1月】,,,,,,,ri_單品雙倍送_已綁定,,,,,190101至221076約翰森林,,,,,,
,220323推播樂高,,211213_1030,,,,鞋款｜雪靴,獎項_38後半場,小家電,,,,領取點數券【2024舊瓶換新瓶_自主回收獎勵6~8月】,,,,,,,ri_單品雙倍送_會員卡,,,,,190101至221077約翰森林,,,,,,
,220323選單無敵券折價券加碼,,211213_1200,,,,鞋款｜靴款,獎項_38抽抽樂_100,小牛津,,,,領取點數券【2024舊瓶換新瓶_自主回收獎勵6~9月】,,,,,,,ri_單品雙倍送_會員綁定,,,,,190101至221078約翰森林,,,,,,
,220324推播24力+line加碼,,211215_1200,,,,鞋款｜餅乾鞋,獎項_38抽抽樂_150,小米,,,,領取點數券【2024舊瓶換新瓶_自主回收獎勵7月】,,,,,,,ri_單品雙倍送_未綁定,,,,,190101至221079約翰森林,,,,,,
,220325推播米其林開館,,211216_2000,,,,鞋款｜馬丁鞋/靴,獎項_38抽抽樂_300,小米手環,,,,領取點數券【2024舊瓶換新瓶_自主回收獎勵8月】,,,,,,,ri_尋找專屬口味,,,,,190101至221080約翰森林,,,,,,
,220326推播週末特殺+小編報,,211216_2030,,,,鞋款｜高跟鞋,獎項_38抽抽樂_50,尿布,,,,領取點數券【2024舊瓶換新瓶_自主回收獎勵9月】,,,,,,,ri_尋找專屬口味N,,,,,190101至221081約翰森林,,,,,,
,220328推播春季婦幼展,,211217_1200,,,,鞋款｜麻糬拖,獎項_38抽抽樂_500,居ㄐ壓,,,,點擊0111_點數到期通知_EC首頁,,,,,,,ri_尋找專屬口味Y,,,,,190101至221082約翰森林,,,,,,
,220329推播3c世界備份日,,211218_1200,,,,馬來西亞會員,獎項_38當日8%券,居家,,,,點擊0112推播_生日壽星_專櫃據點,,,,,,,ri_店點查詢,,,,,190101至221083約翰森林,,,,,,
,220401_P孩實驗室,,211219_2000,,,,高跟鞋,獎項_38當日最高抵300券,山多力,,,,點擊0112推播_生日贈點_EC優惠導首頁,,,,,,,ri_我要集點_已綁定,,,,,190101至221084約翰森林,,,,,,
,220401_P孩折扣碼,,211221_1200,,,,麗寶門市,獎項_女王節倒數現抵5%,山野行者,,,,點擊0112推播_當月生日贈點_會員卡連結,,,,,,,ri_我要集點_未綁定,,,,,190101至221085約翰森林,,,,,,
,220401推播apple+line購物,,211222_1200,,,,點我看本月折扣碼,瑜珈地毯,岱妮蠶絲,,,,點擊0112當月生日贈點_edm會員卡連結,,,,,,,ri_會員卡,,,,,190101至221086約翰森林,,,,,,
,220402推播小米,,211223_2000,,,,點過黑五買很大,瑪黑 1111 拉霸贏好運,巧克力,,,,點擊0201圖文選單_開工折扣碼_導首頁,,,,,,,ri_櫻花草莓拿鐵_咖啡機保固_已綁定,,,,,190101至221087約翰森林,,,,,,
,220403推播nikexadidas鞋,,211224_1200,,,,,瑪黑 1111 拉霸贏好運(分享),巴黎帕芬,,,,點擊0218推播_補班_授權瓶999起,,,,,,,ri_櫻花草莓拿鐵_會員綁定,,,,,190101至221088約翰森林,,,,,,
,220404推播porter,,211224_2000,,,,,瑪黑 1111 拉霸贏好運參與者,希爾思,,,,點擊0218推播_開學_399起,,,,,,,ri_派克冰釀_咖啡機保固_已綁定,,,,,190101至221089約翰森林,,,,,,
,220405推播無印良品,,211225_1200,,,,,瑪黑 1111 最終驚喜,帕妃雯,,,,點擊0224推播_連假限定_3300現折300_EC首頁,,,,,,,ri_派克冰釀_會員卡,,,,,190101至221090約翰森林,,,,,,
,220407推播成家美學傢俱收納,,211226_2000,,,,,瑪黑 1111 轉蛋贏好運,帕瑪氏,,,,點擊0224推播_連假限定_3300現折300_JDC兩入999,,,,,,,ri_派克冰釀_會員綁定,,,,,190101至221091約翰森林,,,,,,
,220408推播app遇8就發,,211229_1200,,,,,瑪黑 1111 轉蛋贏好運(chatbot),帽子,,,,點擊0224推播_連假限定_3300現折300_浮雕杯899,,,,,,,ri_關於咖啡機,,,,,190101至221092約翰森林,,,,,,
,220409推播pi品牌加碼+小編報,,211230_2000,,,,,瑪黑 1111 轉蛋贏好運(分享),帽面,,,,點擊0224推播_連假限定_3300現折300_鴛鴦鍋,,,,,,,ri_關於咖啡機_保固相關,,,,,190101至221093約翰森林,,,,,,
,220410推播garmin,,212022_1200,,,,,瑪黑 1111 轉蛋贏好運參與者,幫寶適,,,,點擊0310圖文選單_官網限定_奇奇蒂蒂開賣,,,,,,,ri_關於咖啡機_如何操作,,,,,190101至221094約翰森林,,,,,,
,220411推播悠活原力,,21623_1200,,,,,【瑪黑家居 8 週年慶】玩扭蛋,平板,,,,點擊0310圖文選單_專櫃限定_緩緩杯兩件特價,,,,,,,ri_集點兌換,,,,,190101至221095約翰森林,,,,,,
,220412推播露營家電,,22009_2000,,,,,療癒香氛品牌日,年菜,,,,點擊0321推播_JNR三件1800,,,,,,,ri_點數雙倍送_主視覺_已綁定,,,,,190101至221096約翰森林,,,,,,
,220414推播防疫3c,,220101_0000,,,,,看門市介紹,年貨,,,,點擊0321推播_JNR三件1899,,,,,,,ri_點數雙倍送_主視覺_未綁定,,,,,190101至221097約翰森林,,,,,,
,220416推播週末特殺+小編報,,220102_2000,,,,,秋之韶光｜秋日野趣,床包組,,,,點擊0321推播_任兩件999,,,,,,,ri_點數雙倍送_咖啡機保固_已綁定,,,,,190101至221098約翰森林,,,,,,
,220417推播理膚寶水大研生醫,,220105_1200,,,,,秋之韶光｜護手霜評比,床墊,,,,點擊0321推播_單件777,,,,,,,ri_點數雙倍送_已綁定,,,,,190101至221099約翰森林,,,,,,
,220418推播百靈歐樂B,,220106_2000,,,,,秋之韶光｜風格配件,床架,,,,點擊0321推播_單件777起,,,,,,,ri_點數雙倍送_會員綁定,,,,,190101至221100約翰森林,,,,,,
,220419推播羅技樂高,,220109_2000,,,,,秋季收納推薦,店玩,,,,點擊0321推播_櫻花777,,,,,,,ri_點數雙倍送_未綁定,,,,,190101至221101約翰森林,,,,,,
,220420推播brita,,220110_2000,,,,,秋日好友專屬折扣碼(10月),康寧,,,,點擊0321推播_櫻花799起,,,,,,,ri_點數雙倍送_經典濃郁,,,,,190101至221102約翰森林,,,,,,
,220421推播電風扇,,220111_1111,,,,,秋日活動頁,廚師,,,,點擊0321推播_滿額優惠,,,,,,,ri_點數雙倍送_義式濃縮濃烈,,,,,190101至221103約翰森林,,,,,,
,220422推播母親節美妝,,220112_1200,,,,,端午折扣碼,廚房家具,,,,點擊0323初夏購物節_JNR3支1800,,,,,,,ri_點數雙倍送_醇香奶茶,,,,,190101至221104約翰森林,,,,,,
,220423推播週末特殺+小編報,,220112_2000,,,,,端午輪盤抽獎,廚房家電,,,,點擊0323初夏購物節_KFG三件組3600,,,,,,,ri_點數雙倍送_閑庭美式,,,,,190101至221105約翰森林,,,,,,
,220424推播24力+line購物,,220113_2000,,,,,精選推薦,延長線,,,,點擊0323初夏購物節_燜燒鍋大+小6600,,,,,,,RT,,,,,190101至221106約翰森林,,,,,,
,220425MOM著傳心意,,220115_1100,,,,,紐約 Bembien 法式優雅,彩妝,,,,點擊0323初夏購物節_電熱水壺3999,,,,,,,RT-mart,,,,,190101至221107約翰森林,,,,,,
